xflr5 v6.61
SD6060-104-88_180
T1_Re0.215_M0.00_N9.0
Alpha =  10.0,  Re =   215000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.3910    0.331     0.247    -0.818    -0.868
 0.4037    0.323     0.239    -0.823    -0.873
 0.4164    0.315     0.231    -0.828    -0.877
 0.4291    0.307     0.223    -0.832    -0.882
 0.4418    0.300     0.215    -0.837    -0.886
 0.4545    0.292     0.208    -0.841    -0.890
 0.4671    0.286     0.201    -0.845    -0.894
 0.4798    0.279     0.194    -0.849    -0.898
 0.4925    0.273     0.188    -0.853    -0.901
 0.5052    0.267     0.182    -0.856    -0.905
 0.5179    0.261     0.176    -0.859    -0.908
 0.5306    0.256     0.170    -0.863    -0.911
 0.5433    0.250     0.165    -0.866    -0.914
 0.5559    0.245     0.159    -0.869    -0.917
 0.5686    0.241     0.154    -0.871    -0.920
 0.5813    0.236     0.149    -0.874    -0.922
 0.5939    0.232     0.145    -0.876    -0.925
 0.6066    0.229     0.141    -0.878    -0.927
 0.6193    0.226     0.137    -0.880    -0.929
 0.6320    0.223     0.133    -0.882    -0.931
 0.6446    0.220     0.130    -0.883    -0.933
 0.6573    0.217     0.126    -0.885    -0.935
 0.6700    0.215     0.124    -0.886    -0.936
 0.6827    0.214     0.121    -0.887    -0.938
 0.6953    0.212     0.119    -0.887    -0.939
 0.7080    0.212     0.117    -0.888    -0.940
 0.7207    0.211     0.115    -0.888    -0.941
 0.7334    0.211     0.113    -0.888    -0.942
 0.7461    0.211     0.112    -0.888    -0.942
 0.7588    0.211     0.111    -0.888    -0.943
 0.7715    0.212     0.109    -0.888    -0.944
 0.7843    0.212     0.108    -0.888    -0.944
 0.7970    0.213     0.107    -0.887    -0.945
 0.8097    0.214     0.106    -0.887    -0.946
 0.8225    0.215     0.104    -0.886    -0.946
 0.8352    0.216     0.103    -0.885    -0.947
 0.8480    0.218     0.102    -0.884    -0.948
 0.8607    0.221     0.101    -0.883    -0.948
 0.8735    0.224     0.100    -0.881    -0.949
 0.8862    0.228     0.099    -0.879    -0.949
 0.8989    0.231     0.097    -0.877    -0.950
 0.9115    0.235     0.095    -0.874    -0.951
 0.9242    0.240     0.092    -0.872    -0.953
 0.9368    0.246     0.089    -0.868    -0.955
 0.9493    0.253     0.083    -0.864    -0.957
 0.9616    0.260     0.076    -0.860    -0.961
 0.9737    0.268     0.064    -0.855    -0.967
 0.9850    0.279     0.047    -0.849    -0.976
 0.9947    0.293     0.020    -0.841    -0.990
 0.9998    0.284     0.037    -0.846    -0.981


