xflr5 v6.61
SD6060-104-88_180
T1_Re0.215_M0.00_N9.0
Alpha =  11.0,  Re =   215000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.2615   -1.413    -1.141     1.553     1.463
 0.2491   -1.455    -1.178     1.567     1.476
 0.2368   -1.499    -1.216     1.581     1.489
 0.2244   -1.546    -1.256     1.596     1.502
 0.2121   -1.596    -1.298     1.611     1.516
 0.1999   -1.650    -1.343     1.628     1.531
 0.1877   -1.707    -1.390     1.645     1.546
 0.1755   -1.769    -1.440     1.664     1.562
 0.1634   -1.836    -1.494     1.684     1.579
 0.1513   -1.910    -1.553     1.706     1.598
 0.1394   -1.989    -1.615     1.729     1.617
 0.1275   -2.079    -1.684     1.755     1.638
 0.1157   -2.179    -1.759     1.783     1.661
 0.1041   -2.289    -1.841     1.814     1.686
 0.0926   -2.417    -1.932     1.849     1.712
 0.0814   -2.560    -2.034     1.887     1.742
 0.0703   -2.726    -2.150     1.930     1.775
 0.0597   -2.917    -2.291     1.979     1.814
 0.0494   -3.142    -2.486     2.035     1.867
 0.0396   -3.414    -2.814     2.101     1.953
 0.0306   -3.770    -3.422     2.184     2.103
 0.0229   -4.209    -4.344     2.282     2.312
 0.0167   -4.606    -4.582     2.368     2.363
 0.0117   -5.004    -4.632     2.450     2.373
 0.0080   -5.614    -4.678     2.572     2.383
 0.0052   -6.891    -4.728     2.809     2.393
 0.0033   -8.075    -4.826     3.013     2.414
 0.0019   -8.818    -5.030     3.133     2.456
 0.0009   -9.451    -5.380     3.233     2.526
 0.0002  -10.436    -5.877     3.382     2.622
-0.0001  -11.501    -6.403     3.536     2.721
-0.0001  -12.093    -6.498     3.618     2.738
 0.0002  -10.113    -5.212     3.334     2.492
 0.0009   -6.380    -3.063     2.717     2.016
 0.0020   -3.458    -1.366     2.111     1.538
 0.0036   -1.508    -0.263     1.584     1.124
 0.0059   -0.387     0.362     1.178     0.799
 0.0091    0.273     0.721     0.853     0.528
 0.0136    0.684     0.918     0.562     0.286
 0.0187    0.880     0.988     0.346     0.108
 0.0248    0.971     0.998     0.169    -0.039
 0.0330    1.000     0.969     0.006    -0.176
 0.0437    0.981     0.914    -0.136    -0.294
 0.0548    0.943     0.856    -0.238    -0.380
 0.0658    0.901     0.804    -0.314    -0.443
 0.0774    0.859     0.755    -0.376    -0.495
 0.0895    0.818     0.710    -0.427    -0.538
 0.1017    0.780     0.671    -0.469    -0.574
 0.1140    0.745     0.636    -0.505    -0.604
 0.1263    0.714     0.604    -0.535    -0.629
 0.1386    0.685     0.575    -0.562    -0.652
 0.1511    0.658     0.549    -0.585    -0.672
 0.1636    0.633     0.525    -0.606    -0.689
 0.1761    0.610     0.503    -0.624    -0.705
 0.1886    0.589     0.482    -0.641    -0.720
 0.2012    0.570     0.463    -0.656    -0.733
 0.2138    0.551     0.445    -0.670    -0.745
 0.2264    0.534     0.429    -0.683    -0.756
 0.2390    0.517     0.413    -0.695    -0.766
 0.2516    0.502     0.398    -0.706    -0.776
 0.2643    0.487     0.384    -0.716    -0.785
 0.2769    0.473     0.370    -0.726    -0.794
 0.2896    0.460     0.357    -0.735    -0.802
 0.3023    0.447     0.345    -0.743    -0.809
 0.3149    0.435     0.333    -0.751    -0.816
 0.3276    0.424     0.322    -0.759    -0.823
 0.3403    0.413     0.311    -0.766    -0.830
 0.3530    0.402     0.301    -0.773    -0.836
 0.3656    0.392     0.291    -0.780    -0.842
 0.3783    0.382     0.281    -0.786    -0.848
 0.3910    0.373     0.272    -0.792    -0.853
 0.4037    0.364     0.263    -0.798    -0.859
 0.4164    0.355     0.254    -0.803    -0.864
 0.4291    0.346     0.245    -0.808    -0.869
 0.4418    0.338     0.237    -0.813    -0.873
 0.4545    0.330     0.229    -0.818    -0.878
 0.4671    0.323     0.222    -0.823    -0.882
 0.4798    0.316     0.214    -0.827    -0.886
 0.4925    0.309     0.207    -0.831    -0.890
 0.5052    0.302     0.200    -0.835    -0.894
 0.5179    0.296     0.194    -0.839    -0.898
 0.5306    0.290     0.187    -0.843    -0.902
 0.5433    0.284     0.181    -0.846    -0.905
 0.5559    0.278     0.175    -0.850    -0.908
 0.5686    0.273     0.169    -0.853    -0.912
 0.5813    0.268     0.163    -0.856    -0.915
 0.5939    0.263     0.158    -0.858    -0.917
 0.6066    0.259     0.153    -0.861    -0.920
 0.6193    0.255     0.149    -0.863    -0.923
 0.6320    0.252     0.144    -0.865    -0.925
 0.6446    0.248     0.140    -0.867    -0.927
 0.6573    0.245     0.136    -0.869    -0.929
 0.6700    0.242     0.133    -0.870    -0.931
 0.6827    0.240     0.129    -0.872    -0.933
 0.6953    0.238     0.126    -0.873    -0.935
 0.7080    0.237     0.123    -0.874    -0.936
 0.7207    0.235     0.121    -0.874    -0.938
 0.7334    0.235     0.118    -0.875    -0.939
 0.7461    0.234     0.116    -0.875    -0.940
 0.7588    0.234     0.114    -0.875    -0.941
 0.7715    0.234     0.112    -0.875    -0.942
 0.7843    0.233     0.110    -0.876    -0.943
 0.7970    0.233     0.108    -0.876    -0.945
 0.8097    0.233     0.106    -0.876    -0.946
 0.8225    0.234     0.103    -0.875    -0.947
 0.8352    0.235     0.101    -0.875    -0.948
 0.8480    0.236     0.099    -0.874    -0.949
 0.8607    0.238     0.097    -0.873    -0.950
 0.8735    0.240     0.095    -0.872    -0.951
 0.8862    0.243     0.093    -0.870    -0.953
 0.8989    0.246     0.090    -0.868    -0.954
 0.9115    0.249     0.086    -0.866    -0.956
 0.9242    0.253     0.082    -0.864    -0.958
 0.9368    0.259     0.077    -0.861    -0.961
 0.9493    0.264     0.070    -0.858    -0.965
 0.9616    0.271     0.060    -0.854    -0.970
 0.9737    0.278     0.045    -0.850    -0.977
 0.9850    0.288     0.023    -0.844    -0.988
 0.9947    0.300    -0.012    -0.837    -1.006
 0.9998    0.290     0.007    -0.843    -0.997


