xflr5 v6.61
SD6060-104-88_180
T1_Re0.215_M0.00_N9.0
Alpha =  11.0,  Re =   215000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.9998    0.290     0.007     0.843     0.997
 0.9947    0.261     0.007     0.860     0.997
 0.9852    0.222     0.005     0.882     0.997
 0.9740    0.182     0.004     0.904     0.998
 0.9620    0.148     0.002     0.923     0.999
 0.9498    0.118     0.000     0.939     1.000
 0.9375    0.089    -0.002     0.955     1.001
 0.9251    0.059    -0.006     0.970     1.003
 0.9126    0.031    -0.010     0.984     1.005
 0.9001    0.004    -0.015     0.998     1.007
 0.8875   -0.023    -0.021     1.012     1.010
 0.8749   -0.050    -0.027     1.024     1.013
 0.8623   -0.076    -0.034     1.037     1.017
 0.8497   -0.102    -0.042     1.050     1.021
 0.8371   -0.128    -0.051     1.062     1.025
 0.8245   -0.154    -0.061     1.074     1.030
 0.8119   -0.179    -0.071     1.086     1.035
 0.7993   -0.205    -0.083     1.098     1.041
 0.7867   -0.230    -0.095     1.109     1.047
 0.7741   -0.255    -0.109     1.120     1.053
 0.7615   -0.280    -0.123     1.131     1.060
 0.7490   -0.305    -0.138     1.142     1.067
 0.7364   -0.330    -0.155     1.153     1.075
 0.7238   -0.355    -0.172     1.164     1.082
 0.7113   -0.381    -0.190     1.175     1.091
 0.6987   -0.406    -0.208     1.186     1.099
 0.6862   -0.431    -0.228     1.196     1.108
 0.6737   -0.456    -0.248     1.207     1.117
 0.6611   -0.481    -0.269     1.217     1.127
 0.6486   -0.506    -0.291     1.227     1.136
 0.6360   -0.531    -0.313     1.237     1.146
 0.6235   -0.556    -0.336     1.248     1.156
 0.6109   -0.582    -0.360     1.258     1.166
 0.5984   -0.609    -0.384     1.268     1.177
 0.5858   -0.636    -0.409     1.279     1.187
 0.5733   -0.664    -0.435     1.290     1.198
 0.5608   -0.694    -0.461     1.301     1.209
 0.5483   -0.723    -0.487     1.313     1.220
 0.5358   -0.753    -0.514     1.324     1.231
 0.5233   -0.782    -0.542     1.335     1.242
 0.5108   -0.811    -0.569     1.346     1.252
 0.4983   -0.839    -0.596     1.356     1.263
 0.4859   -0.867    -0.623     1.366     1.274
 0.4734   -0.894    -0.650     1.376     1.284
 0.4609   -0.921    -0.677     1.386     1.295
 0.4484   -0.948    -0.704     1.396     1.305
 0.4360   -0.975    -0.730     1.405     1.315
 0.4235   -1.002    -0.757     1.415     1.326
 0.4110   -1.029    -0.784     1.425     1.336
 0.3985   -1.057    -0.811     1.434     1.346
 0.3860   -1.084    -0.838     1.444     1.356
 0.3735   -1.112    -0.865     1.453     1.366
 0.3611   -1.141    -0.893     1.463     1.376
 0.3486   -1.171    -0.921     1.473     1.386
 0.3361   -1.201    -0.950     1.484     1.396
 0.3237   -1.232    -0.979     1.494     1.407
 0.3112   -1.265    -1.009     1.505     1.417
 0.2987   -1.299    -1.040     1.516     1.428
 0.2863   -1.335    -1.072     1.528     1.440
 0.2739   -1.373    -1.106     1.540     1.451
