xflr5 v6.61
SD6060-104-88_180
T1_Re0.215_M0.00_N9.0
Alpha =   7.0,  Re =   215000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.3910    0.202     0.170    -0.893    -0.911
 0.4037    0.196     0.165    -0.897    -0.914
 0.4164    0.191     0.159    -0.900    -0.917
 0.4291    0.185     0.154    -0.903    -0.920
 0.4418    0.180     0.149    -0.906    -0.923
 0.4545    0.175     0.144    -0.908    -0.925
 0.4671    0.171     0.139    -0.911    -0.928
 0.4798    0.166     0.135    -0.913    -0.930
 0.4925    0.162     0.131    -0.915    -0.932
 0.5052    0.159     0.127    -0.917    -0.934
 0.5179    0.155     0.124    -0.919    -0.936
 0.5306    0.152     0.120    -0.921    -0.938
 0.5433    0.149     0.117    -0.923    -0.940
 0.5559    0.146     0.114    -0.924    -0.941
 0.5686    0.143     0.111    -0.926    -0.943
 0.5813    0.141     0.109    -0.927    -0.944
 0.5939    0.139     0.107    -0.928    -0.945
 0.6066    0.138     0.105    -0.929    -0.946
 0.6193    0.136     0.104    -0.929    -0.947
 0.6320    0.135     0.103    -0.930    -0.947
 0.6446    0.135     0.102    -0.930    -0.948
 0.6573    0.134     0.101    -0.930    -0.948
 0.6700    0.134     0.101    -0.930    -0.948
 0.6827    0.135     0.101    -0.930    -0.948
 0.6953    0.136     0.101    -0.930    -0.948
 0.7080    0.137     0.102    -0.929    -0.948
 0.7207    0.139     0.103    -0.928    -0.947
 0.7334    0.141     0.104    -0.927    -0.947
 0.7461    0.143     0.105    -0.926    -0.946
 0.7588    0.145     0.107    -0.925    -0.945
 0.7715    0.148     0.108    -0.923    -0.944
 0.7843    0.150     0.110    -0.922    -0.943
 0.7970    0.153     0.112    -0.920    -0.942
 0.8097    0.156     0.114    -0.919    -0.941
 0.8225    0.159     0.116    -0.917    -0.940
 0.8352    0.163     0.119    -0.915    -0.939
 0.8480    0.167     0.121    -0.913    -0.938
 0.8607    0.172     0.124    -0.910    -0.936
 0.8735    0.177     0.127    -0.907    -0.935
 0.8862    0.183     0.130    -0.904    -0.933
 0.8989    0.189     0.132    -0.900    -0.931
 0.9115    0.196     0.135    -0.897    -0.930
 0.9242    0.203     0.138    -0.893    -0.928
 0.9368    0.212     0.141    -0.888    -0.927
 0.9493    0.221     0.143    -0.883    -0.926
 0.9616    0.231     0.145    -0.877    -0.925
 0.9737    0.243     0.146    -0.870    -0.924
 0.9850    0.257     0.146    -0.862    -0.924
 0.9947    0.275     0.144    -0.852    -0.925
 0.9998    0.271     0.149    -0.854    -0.922


