xflr5 v6.61
SD6060-104-88_180
T1_Re0.215_M0.00_N9.0
Alpha =  -4.0,  Re =   215000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.3656   -0.334    -0.304    -1.155    -1.142
 0.3783   -0.326    -0.296    -1.152    -1.138
 0.3910   -0.318    -0.288    -1.148    -1.135
 0.4037   -0.310    -0.281    -1.144    -1.132
 0.4164   -0.302    -0.273    -1.141    -1.128
 0.4291   -0.295    -0.266    -1.138    -1.125
 0.4418   -0.287    -0.259    -1.135    -1.122
 0.4545   -0.280    -0.252    -1.132    -1.119
 0.4671   -0.273    -0.245    -1.128    -1.116
 0.4798   -0.266    -0.238    -1.125    -1.113
 0.4925   -0.258    -0.231    -1.122    -1.109
 0.5052   -0.251    -0.224    -1.118    -1.106
 0.5179   -0.244    -0.216    -1.115    -1.103
 0.5306   -0.236    -0.209    -1.112    -1.100
 0.5433   -0.229    -0.202    -1.109    -1.096
 0.5559   -0.222    -0.195    -1.106    -1.093
 0.5686   -0.215    -0.188    -1.102    -1.090
 0.5813   -0.207    -0.180    -1.099    -1.086
 0.5939   -0.199    -0.172    -1.095    -1.083
 0.6066   -0.191    -0.164    -1.091    -1.079
 0.6193   -0.183    -0.156    -1.087    -1.075
 0.6320   -0.174    -0.147    -1.084    -1.071
 0.6446   -0.165    -0.139    -1.080    -1.067
 0.6573   -0.156    -0.130    -1.075    -1.063
 0.6700   -0.147    -0.121    -1.071    -1.059
 0.6827   -0.138    -0.111    -1.067    -1.054
 0.6953   -0.128    -0.102    -1.062    -1.050
 0.7080   -0.117    -0.092    -1.057    -1.045
 0.7207   -0.107    -0.082    -1.052    -1.040
 0.7334   -0.096    -0.071    -1.047    -1.035
 0.7461   -0.085    -0.060    -1.041    -1.030
 0.7588   -0.073    -0.050    -1.036    -1.025
 0.7715   -0.062    -0.039    -1.031    -1.019
 0.7843   -0.051    -0.028    -1.025    -1.014
 0.7970   -0.040    -0.017    -1.020    -1.008
