  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	      Fx	      Fy	      Fz	     rpm	     Rho
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	       N	       N	       N	   1/min	  kg/m^3
      19	 16:23:24	   4.000	  132.79	 1014.37	   23.65	   0.410	   7.261	   0.017	   870.2	   1.191
      20	 16:23:39	   4.500	  130.56	 1014.38	   23.67	   0.440	   7.870	   0.019	   869.9	   1.191
      21	 16:23:55	   5.000	  131.69	 1014.36	   23.67	   0.481	   8.566	   0.015	   870.5	   1.191
      22	 16:24:10	   5.500	  131.96	 1014.31	   23.69	   0.523	   9.182	   0.017	   870.0	   1.190
      23	 16:24:27	   6.000	  131.36	 1014.32	   23.69	   0.562	   9.819	   0.013	   870.2	   1.190
      24	 16:24:47	   6.500	  132.66	 1014.37	   23.70	   0.608	  10.460	   0.008	   869.9	   1.190
      25	 16:25:08	   7.000	  127.87	 1014.37	   23.70	   0.649	  10.885	   0.005	   869.9	   1.190
      26	 16:25:26	   7.500	  130.98	 1014.34	   23.71	   0.717	  11.694	  -0.003	   870.0	   1.190
      27	 16:25:49	   8.000	  130.99	 1014.35	   23.73	   0.769	  12.251	  -0.005	   870.3	   1.190
      28	 16:26:04	   8.500	  130.29	 1014.35	   23.74	   0.826	  12.711	  -0.015	   869.9	   1.190
      29	 16:26:18	   9.000	  130.00	 1014.36	   23.75	   0.893	  13.293	  -0.022	   869.8	   1.190
      30	 16:26:31	   9.500	  130.99	 1014.33	   23.75	   0.964	  13.877	  -0.030	   869.9	   1.190
      31	 16:26:46	  10.000	  129.53	 1014.32	   23.76	   1.028	  14.281	  -0.042	   870.0	   1.190
      32	 16:27:02	  10.500	  129.45	 1014.32	   23.77	   1.101	  14.712	  -0.051	   870.1	   1.190
      33	 16:27:18	  11.000	  131.05	 1014.33	   23.78	   1.194	  15.160	  -0.063	   870.0	   1.190
      34	 16:27:35	  11.500	  129.48	 1014.33	   23.79	   1.268	  15.457	  -0.074	   870.0	   1.190
      35	 16:27:52	  12.000	  131.07	 1014.34	   23.81	   1.345	  15.769	  -0.088	   869.9	   1.190
      36	 16:28:44	  12.500	  131.34	 1014.32	   23.83	   1.441	  16.186	  -0.103	   870.1	   1.190
      37	 16:28:58	  13.000	  130.41	 1014.35	   23.84	   1.523	  16.269	  -0.116	   870.1	   1.190
      38	 16:29:10	  13.100	  130.32	 1014.38	   23.84	   1.521	  16.134	  -0.113	   870.4	   1.190
      39	 16:29:20	  13.200	  132.39	 1014.40	   23.85	   1.557	  16.404	  -0.116	   869.9	   1.190
      40	 16:29:30	  13.300	  129.18	 1014.41	   23.85	   1.548	  16.092	  -0.120	   869.7	   1.190
      41	 16:29:39	  13.400	  128.95	 1014.40	   23.86	   1.570	  16.114	  -0.123	   870.0	   1.190
      42	 16:29:47	  13.500	  129.45	 1014.41	   23.87	   1.588	  16.129	  -0.122	   869.7	   1.190
      43	 16:29:56	  13.600	  129.56	 1014.42	   23.89	   1.620	  16.211	  -0.131	   870.2	   1.190
      44	 16:30:06	  13.700	  127.91	 1014.39	   23.89	   1.623	  16.086	  -0.126	   870.1	   1.190
      45	 16:30:14	  13.800	  130.01	 1014.40	   23.88	   1.657	  16.243	  -0.129	   870.2	   1.190
      46	 16:30:22	  13.900	  129.72	 1014.40	   23.89	   1.690	  16.247	  -0.135	   869.9	   1.190
      47	 16:30:32	  14.000	  131.45	 1014.41	   23.89	   1.732	  16.398	  -0.140	   869.7	   1.190
      48	 16:30:42	  14.100	  132.20	 1014.40	   23.89	   1.764	  16.506	  -0.134	   870.2	   1.190
      49	 16:30:53	  14.200	  128.29	 1014.40	   23.91	   1.754	  16.070	  -0.136	   870.0	   1.190
      50	 16:31:01	  14.300	  129.47	 1014.42	   23.92	   1.808	  16.253	  -0.139	   869.9	   1.190
      51	 16:31:09	  14.400	  130.60	 1014.43	   23.91	   1.847	  16.335	  -0.141	   870.2	   1.190
      52	 16:31:49	  14.412	  131.42	 1014.42	   23.93	   1.842	  16.197	  -0.140	   870.1	   1.190
      53	 16:31:58	  14.500	  130.26	 1014.40	   23.94	   1.884	  16.310	  -0.142	   870.2	   1.190
      54	 16:32:06	  15.000	  130.84	 1014.41	   23.93	   2.085	  16.298	  -0.141	   869.6	   1.190
      55	 16:32:17	  15.500	  127.76	 1014.42	   23.93	   3.523	  15.290	  -0.048	   870.2	   1.190
      56	 16:32:30	  16.000	  130.24	 1014.40	   23.93	   3.894	  15.050	  -0.042	   870.1	   1.190
      57	 16:32:49	  16.500	  129.16	 1014.37	   23.95	   3.985	  14.029	  -0.050	   870.0	   1.189
      58	 16:33:02	  17.000	  127.52	 1014.35	   23.94	   4.090	  13.206	  -0.060	   870.2	   1.189
      59	 16:33:15	  16.500	  126.65	 1014.35	   23.96	   3.969	  13.802	  -0.044	   869.7	   1.189
      60	 16:33:27	  16.000	  130.29	 1014.32	   23.97	   3.887	  15.026	  -0.035	   870.4	   1.189
      61	 16:33:38	  15.500	  127.82	 1014.32	   23.98	   3.592	  15.516	  -0.043	   870.1	   1.189
      62	 16:33:52	  15.000	  128.83	 1014.32	   23.98	   2.975	  15.940	  -0.079	   869.8	   1.189
      63	 16:34:04	  14.500	  129.74	 1014.32	   23.98	   1.885	  16.244	  -0.142	   870.3	   1.189
      64	 16:34:17	  14.000	  130.37	 1014.30	   23.99	   1.728	  16.283	  -0.126	   870.1	   1.189
      65	 16:34:30	  13.500	  130.77	 1014.30	   23.99	   1.606	  16.226	  -0.115	   870.3	   1.189
      66	 16:35:32	  17.000	  127.95	 1014.30	   24.01	   4.127	  13.339	  -0.058	   870.2	   1.189
      67	 16:35:54	  16.500	  129.50	 1014.32	   24.02	   4.019	  14.036	  -0.046	   870.0	   1.189
      68	 16:36:14	  15.500	  127.55	 1014.33	   24.03	   3.516	  15.108	  -0.037	   869.9	   1.189
      69	 16:36:32	  14.500	  129.25	 1014.37	   24.03	   1.880	  16.203	  -0.129	   869.9	   1.189
      70	 16:36:46	  13.500	  130.11	 1014.33	   24.04	   1.615	  16.267	  -0.111	   869.7	   1.189
      71	 16:36:57	  12.500	  131.54	 1014.33	   24.05	   1.448	  16.121	  -0.084	   869.7	   1.189
      72	 16:37:09	  11.500	  129.91	 1014.32	   24.05	   1.279	  15.475	  -0.052	   869.9	   1.189
      73	 16:37:18	  10.000	  130.31	 1014.35	   24.06	   1.040	  14.323	  -0.020	   869.9	   1.189
