P001	0
P026	0
P002	0.35626
P027	0.43123
P003	1.33331
P028	1.47147
P004	3.66108
P029	3.92479
P005	7.2922
P030	7.79506
P006	11.35604
P031	12.0143
P007	15.59135
P032	16.32276
P008	19.91328
P033	20.67013
P009	24.28443
P034	25.03792
P010	28.68627
P035	29.41554
P011	33.10518
P036	33.79772
P012	37.53128
P037	38.18675
P013	41.95991
P038	42.57527
P014	46.38793
P039	46.96278
P015	50.8156
P040	51.35062
P016	55.2486
P041	55.73662
P017	59.69223
P042	60.12075
P018	64.13685
P043	64.50502
P019	68.579
P044	68.8901
P020	73.02401
P045	73.28011
P021	77.47357
P046	77.67783
P022	81.93114
P047	82.07965
P023	86.38589
P048	86.47978
P024	90.8108
P025	100
P049	100
