P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049
-1196.23,-670.77,-771.11,-679.65,-438.97,-383.07,-331.4,-302.76,-269.28,-243.82,-216.53,-204.1,-185.05,-167.02,-142.82,-121.65,-101.33,-82.69,-66.01,-49.13,-34.82,-19.26,-6.51,0.31,11.77,-1195.99,71.53,267.38,231.83,178.44,144.85,120.22,104.47,92.05,81.21,72.24,64.78,57.48,52.15,47.14,42.84,39.02,36.42,34.76,33.44,33.49,33.49,34.03,11.77
-1208.49,-682.86,-780.47,-657.54,-440.55,-382.94,-331.12,-300.95,-268.84,-243.08,-215.83,-202.94,-182.87,-165.15,-141.75,-120.98,-99.77,-80.81,-64.88,-48.05,-33.9,-18.81,-6.39,0.07,11.21,-1208.78,66.24,267.11,232.39,180,145.92,121.83,105.63,93.1,82.24,73.24,65.7,58.1,53.03,47.93,43.56,39.77,37.03,35.32,33.92,33.94,33.83,34.26,11.21
-1215.18,-684.17,-788.54,-629.16,-440.86,-381.53,-330.28,-300.43,-267.27,-241.47,-214.18,-202.13,-181.55,-163.55,-140.35,-119.8,-98.88,-79.96,-63.9,-47.13,-33.95,-18.89,-7.43,-0.91,9.92,-1216.32,60.1,264.4,231.68,179.13,145.44,121.22,105.32,92.83,81.95,72.95,65.46,57.83,52.7,47.61,43.2,39.24,36.55,34.76,33.29,33.2,33.03,33.31,9.92
-1241.33,-700.43,-810.37,-590.79,-447.87,-386.88,-333.18,-302.56,-269.97,-243.75,-215.76,-202.79,-183.02,-164.12,-140.42,-119.95,-98.22,-79.78,-63.42,-46.76,-33.75,-19.07,-7.49,-1.71,8.63,-1240.76,54.69,265.89,234.29,182.08,147.79,123.54,107.23,94.58,83.56,74.43,66.85,59.12,53.86,48.61,44.11,40.11,37.32,35.43,33.85,33.67,33.41,33.44,8.63
-1252.82,-702.66,-824.04,-570.27,-449.72,-387.38,-333.79,-303.06,-269.48,-243.84,-215.22,-201.91,-181.38,-163.72,-139.14,-118.9,-97.51,-78.92,-62.92,-46.49,-33.59,-19.17,-7.74,-2.28,7.2,-1251.7,48.72,265.12,234.43,182.92,148.01,123.78,107.63,94.89,83.82,74.62,66.99,59.24,53.91,48.58,44.03,40.01,37.12,35.16,33.52,33.27,32.89,32.82,7.2
-1268.62,-709.06,-841.21,-546.13,-452.79,-388.17,-334.53,-303.44,-269.28,-242.73,-215.12,-201.19,-181.64,-162.84,-138.63,-118.04,-96.55,-77.72,-61.75,-45.91,-33.14,-19.01,-8.03,-2.75,6.59,-1268.04,43.64,265.27,236.08,184.72,149.79,125.23,109.06,96.21,85.02,75.78,68.06,60.45,54.84,49.46,44.87,40.77,37.78,35.74,34.04,33.66,33.22,33.18,6.59
-1287.91,-724.19,-863.57,-529,-457.91,-392.04,-337.8,-306.55,-272.27,-246.56,-216.58,-203.36,-182.63,-163.71,-139.14,-117.7,-96.44,-77.81,-62.22,-46.31,-33.85,-20.24,-9.71,-4.8,4.46,-1287.36,37.42,264.9,236.57,185.25,150.15,126.12,109.45,96.47,85.16,75.78,68.01,60.17,54.6,49.12,44.45,40.24,37.17,35.05,33.28,32.84,32.25,32.13,4.46
-1311,-741.55,-887.98,-521,-464.39,-397.2,-340.85,-309.1,-275,-249.3,-218.59,-203.93,-183.17,-163.94,-139.31,-118.35,-96.57,-77.78,-61.97,-46.12,-33.98,-20.56,-10.35,-5.61,2.88,-1309.93,32.16,266.5,239.06,187.91,152.12,127.75,111.06,97.86,86.4,76.91,68.99,61.01,55.37,49.77,45,40.7,37.57,35.35,33.47,32.92,32.27,32,2.88
-1321.89,-762.36,-910.72,-513.66,-467.81,-399.12,-342.24,-310.39,-275.19,-249.5,-218.51,-204.38,-182.87,-163.22,-138.57,-117.75,-96.21,-77.33,-61.47,-45.98,-33.89,-20.88,-10.84,-6.6,1.42,-1321.66,25.66,266.17,240.12,188.91,153.34,128.89,111.83,98.54,87.05,77.44,69.51,61.43,55.74,50.08,45.2,40.83,37.63,35.34,33.35,32.74,31.97,31.57,1.42
-1320.49,-818.66,-939.48,-513.29,-470.63,-400.2,-344.59,-310.38,-275.58,-251.26,-217.72,-203.52,-182.2,-162.76,-137.72,-116.56,-95.11,-76.45,-60.89,-45.54,-34.24,-21.64,-12.09,-7.87,-0.04,-1321.08,20.17,265.27,240.13,189.94,154.17,129.7,112.33,99.01,87.41,77.75,69.73,61.66,55.85,50.13,45.17,40.76,37.5,35.15,33.08,32.4,31.53,31.09,-0.04
-1206.13,-849.26,-970.25,-518.12,-472.9,-401.28,-343.46,-310.85,-274.8,-250.29,-216.78,-203.2,-181.1,-161.21,-135.85,-114.69,-94.02,-75.2,-59.6,-44.97,-33.54,-21.2,-12.25,-8.66,-0.96,-1206.91,4.97,264.12,241.46,190.82,155.21,130.84,113.53,100.2,88.52,78.82,70.73,62.74,56.71,50.96,45.96,41.52,38.19,35.72,33.63,32.81,31.84,31.27,-0.96
-1221.43,-863.24,-1004.44,-525.35,-472.92,-401.09,-343.62,-309.82,-273.52,-248.8,-215.21,-200.95,-178.84,-159.44,-134.27,-112.78,-92.25,-73.4,-58.29,-43.6,-33.32,-21.42,-12.85,-9.37,-2.45,-1221.83,-2.39,262.75,241.43,191.64,155.62,131.14,114.02,100.62,88.94,79.2,71.1,63.05,57.01,51.16,46.14,41.63,38.23,35.7,33.49,32.6,31.5,30.76,-2.45
-1252.97,-880.17,-1042.33,-547.49,-485.08,-409.08,-351.33,-315.72,-278.03,-253.36,-219.13,-203.69,-181.17,-162.06,-136.14,-114.29,-92.94,-74.37,-59.29,-44.8,-34.29,-23.32,-15.1,-12.22,-4.51,-1252.5,-8.39,265.1,244.93,193.92,157.87,132.98,115.57,101.93,90,80.08,71.78,63.59,57.38,51.42,46.24,41.61,38.08,35.42,33.1,32.14,30.92,30.05,-4.51
-1247.48,-894.73,-1030.72,-553.71,-482.57,-404.75,-345.94,-311.16,-273.55,-248.86,-214.7,-199.44,-177.18,-157.44,-131.16,-109.71,-89.85,-71.65,-56.83,-42.77,-33.26,-22.74,-14.75,-12.68,-5.15,-1247.41,-11.94,262.2,243.31,193.35,157.77,133.04,115.69,102.19,90.32,80.49,72.24,63.96,57.88,51.92,46.74,42.06,38.55,35.86,33.51,32.44,31.14,30.09,-5.15
-1358.77,-956.76,-1103.82,-597.25,-497.23,-414.5,-352.75,-313.04,-273.77,-245.03,-208.92,-190.07,-165.29,-142.9,-113.14,-93.1,-73.74,-59.14,-49.5,-41.92,-39.37,-35.63,-29.03,-30.06,-20.19,-1358.61,-35.69,264.07,251.16,200.93,164.47,139.2,121.24,106.95,94.46,84.03,75.18,66.35,59.65,53.12,47.3,42.08,37.78,34.4,31.31,29.37,27.06,24.65,-20.19
-1319.96,-949.44,-1131.58,-577.84,-480.33,-397.59,-336.54,-294.91,-252.72,-220.79,-182.44,-159.51,-134.06,-108.05,-82.69,-66.43,-58.68,-52.55,-51.9,-50.01,-49.34,-47.86,-44.21,-45.44,-34.77,-1320.26,-41.77,258.44,248.34,200.36,164.28,139.06,121.19,106.83,94.22,83.61,74.55,65.56,58.53,51.69,45.53,39.81,35.13,31.24,27.5,24.85,21.72,18.43,-34.77
-1240.58,-982.82,-1161.38,-584.82,-482.24,-394.07,-329.73,-283.85,-238.16,-202.28,-159.88,-135.74,-110.79,-90.82,-73.58,-66.17,-64.43,-62.94,-63.16,-61.95,-62.88,-61.23,-58.52,-59.47,-48.56,-1240.54,-47.37,262.16,254.67,206.43,169.53,143.33,124.46,109.44,96.23,85.05,75.47,65.77,58.37,50.93,44.2,37.86,32.61,28.12,23.74,20.29,16.48,12.26,-48.56
-1181.46,-940.25,-1160.35,-564.32,-456.67,-367.73,-302.2,-253.05,-204.55,-166.86,-124.09,-106.74,-90.78,-82.26,-74.88,-71.97,-73.31,-72.99,-74.3,-73.84,-75.01,-73.82,-71.29,-73.73,-60.83,-1180.98,-40.63,261.03,254,206.74,169.97,143.47,124.85,109.74,96.25,84.87,75.03,65.02,57.31,49.58,42.46,35.7,30.07,25.06,20.2,16.24,11.83,6.99,-60.83
-1088.66,-855.1,-1081.99,-564.17,-424.59,-336.36,-271.16,-220.33,-173.26,-138.87,-105.08,-96.65,-88.97,-84.85,-78.53,-79,-80.3,-79.51,-80.58,-80.48,-81.27,-80.96,-78.77,-80.81,-67.22,-1088.09,-27.56,258.65,251.2,204.86,168.79,142.39,123.91,108.72,95.27,83.77,73.77,63.64,55.73,47.82,40.46,33.41,27.52,22.21,17.03,12.77,7.96,3.01,-67.22
-427.68,-284.08,-362.47,-354.65,-339.58,-313.34,-295.64,-283.86,-264.83,-249.84,-223.9,-215.32,-202.42,-188.78,-170.59,-159.11,-149.15,-138.57,-131.14,-123,-116.46,-107.46,-98.09,-92.05,-67.99,-426.88,155.55,269.1,234.29,186.99,154.55,131.04,114.05,100.34,87.98,77.34,68.09,58.57,51.27,43.93,37.04,30.61,25.19,20.45,15.91,12.27,8.2,3.46,-67.99
-411.74,-283.33,-330.94,-329.98,-319.62,-298.66,-283.11,-274.05,-259.47,-245.24,-222.56,-215.11,-200.79,-189.44,-174.06,-163.49,-156.18,-145.14,-136.75,-128.41,-121.63,-112.59,-102.35,-95.39,-70.74,-411.42,159.34,268.84,231.73,184,151.82,128.6,111.69,98.09,85.8,75.2,65.95,56.6,49.14,41.81,34.91,28.44,23.04,18.28,13.62,9.93,5.78,1.44,-70.74
-1074.72,-806.83,-1068.69,-562.88,-421.05,-333.91,-269.41,-219.26,-175.28,-138.72,-103.88,-95.73,-86.15,-82.83,-76.41,-76.07,-77.31,-76.54,-77.61,-77.68,-78.53,-77.7,-75.69,-78.05,-64.66,-1075.42,-25.86,257.23,250.18,204.01,168.2,142.27,123.83,108.82,95.42,84,74.09,64.11,56.19,48.31,41.01,34.02,28.2,22.93,17.83,13.59,8.86,3.79,-64.66
-1159.2,-904.36,-1143.57,-555.74,-449.55,-362.7,-298.88,-251.14,-206.41,-167.13,-124.02,-107.21,-91.07,-81.58,-73.2,-70.45,-71.06,-70.86,-71.56,-70.62,-71.86,-70.55,-68.24,-70.34,-57.93,-1158.63,-39.04,257.33,250.81,203.47,167.63,141.79,123.18,108.27,95.02,83.81,74.06,64.16,56.69,49.05,42.07,35.4,29.89,24.97,20.21,16.35,12.05,7.51,-57.93
-356.33,-204.97,-250.35,-249.96,-253.86,-240,-232.95,-232.92,-228.05,-219.59,-205.58,-204.71,-198.63,-190.26,-178.16,-170.39,-165.76,-155.65,-149.3,-141.29,-135.68,-128.33,-118.94,-113.29,-84.75,-355.05,183.17,266.5,225.11,177.84,146.99,123.61,107.25,93.88,81.66,71.02,61.71,52.33,44.68,37.18,29.98,23.3,17.5,12.37,7.37,3.15,-1.62,-6.71,-84.75
-340.09,-180.93,-200.97,-199.87,-205.95,-194.42,-188.78,-191.38,-191.21,-189.67,-179.29,-183.17,-181.75,-179.84,-172.63,-169.02,-168.04,-163.18,-161.59,-156.98,-153.03,-146.45,-137.21,-131.12,-99.71,-340.17,198.27,270.34,225.39,176.51,145.67,122.23,105.42,91.69,79.17,68.14,58.48,48.74,40.53,32.61,24.92,17.71,11.42,5.69,-0.04,-4.81,-10.29,-15.96,-99.71
-322.09,-146.01,-170.69,-167.68,-174.78,-164.19,-158.24,-161.67,-161.44,-161.24,-151.58,-159.47,-160.23,-160.8,-156.07,-154.48,-156.02,-153.08,-153.35,-151.55,-150.64,-146.13,-139.53,-135.19,-104.64,-321.46,204.54,267.41,222.2,174.21,143.92,120.35,103.68,90.02,77.49,66.37,56.72,46.8,38.46,30.3,22.44,14.99,8.41,2.35,-3.67,-8.77,-14.64,-21.22,-104.64
-335.23,-165.79,-196.08,-194.58,-202.19,-190.32,-185.88,-189.54,-189.01,-186.98,-176.59,-181.61,-181.11,-179.78,-172.39,-168.19,-167.05,-160.82,-159.21,-154.57,-151.64,-145.85,-137.83,-132.52,-99.12,-334.86,199.65,270.05,225.54,177.26,146.23,122.08,105.88,92.21,79.72,68.75,59.11,49.39,41.22,33.33,25.65,18.41,12.16,6.43,0.77,-4.03,-9.5,-15.53,-99.12
-354.34,-208.81,-262.51,-261.38,-262.08,-244.67,-239.2,-239.2,-234.59,-227.16,-211.51,-210.89,-204.27,-196.41,-183.43,-173.81,-167.33,-157.77,-152.41,-144.88,-139.86,-132.23,-122.44,-116.16,-85.01,-353.31,185.98,272.87,231.43,183.31,151.18,126.89,110.34,96.55,84.04,73.16,63.65,53.89,46.12,38.42,31.06,24.19,18.33,13.03,7.88,3.61,-1.2,-6.61,-85.01
-417.3,-278.6,-356.79,-355.33,-340.63,-316.37,-299.38,-289.44,-272.62,-255.72,-229.7,-220.21,-206.2,-193,-174.88,-161.96,-152.42,-140.62,-132.4,-122.94,-116.36,-106.81,-96.72,-90.81,-67.88,-416.74,158.77,268.98,233.65,186.49,153.83,130.5,113.38,99.69,87.36,76.75,67.49,58.18,50.71,43.35,36.54,30.09,24.72,20,15.44,11.87,7.86,3.3,-67.88
-1089.76,-822.24,-1083.12,-571.29,-427.43,-339.2,-274.31,-223.83,-180.77,-142.42,-106.7,-98.56,-89.07,-84.67,-78.1,-77.44,-79.45,-78.64,-79.62,-79.82,-80.57,-80.19,-78.35,-80.07,-66.12,-1090.57,-28.27,258.36,251.57,204.98,168.89,142.6,124.18,109.01,95.53,83.99,73.94,63.92,55.88,47.9,40.54,33.48,27.63,22.29,17.15,12.87,8.14,2.99,-66.12
-1149,-906.25,-1134.15,-550.37,-445.81,-358.57,-295.12,-246.99,-202.7,-162.82,-120.26,-104.06,-87.91,-80.31,-71.21,-69.18,-71.02,-70.88,-71.72,-71.23,-72.51,-71.37,-68.87,-71.28,-57.8,-1149.38,-38.03,256.6,249.63,202.85,166.72,141.35,122.82,108,94.85,83.62,73.96,64.24,56.55,48.94,41.98,35.31,29.82,24.93,20.14,16.24,11.91,7.42,-57.8
-1217.89,-966.11,-1157.76,-576.83,-474.9,-388.45,-324.69,-279.85,-237.05,-198.84,-156.88,-133.27,-109.24,-88.89,-71.51,-64.25,-63.18,-61.69,-61.73,-60.22,-61.27,-59.66,-56.85,-58.33,-46.84,-1219.54,-45,260.46,252.73,204.81,168.59,142.39,123.96,109.15,96.07,84.95,75.47,65.86,58.5,51.17,44.51,38.19,32.99,28.52,24.22,20.78,16.98,12.91,-46.84
-1344.06,-955.69,-1104,-589.79,-492.14,-408.93,-349.5,-309.31,-273.41,-241.06,-205.51,-186.75,-162.32,-139.55,-110.55,-90.65,-72.16,-57.7,-48.68,-42.34,-39.57,-36.35,-30.11,-31.29,-21.45,-1346.54,-35.36,260.92,248.2,198.96,161.93,137.58,119.45,105.29,92.96,82.56,73.78,65.06,58.4,51.93,46.16,40.89,36.67,33.32,30.21,28.29,25.95,23.84,-21.45
-1275.84,-916.51,-1041.87,-574.87,-488.88,-408.69,-351.37,-313.72,-279.05,-250.16,-215.64,-199.82,-177.37,-156.94,-130.49,-109.45,-89.89,-71.06,-56.91,-43.83,-34.34,-24.83,-17.09,-15.13,-7.95,-1276.81,-17.84,262.74,244.98,194.95,158.33,134.49,116.57,102.84,90.83,80.79,72.44,64,57.85,51.75,46.43,41.69,37.99,35.16,32.66,31.45,29.98,28.81,-7.95
-1274.25,-725.59,-838.88,-564.79,-456.22,-392.84,-341.66,-307.12,-276.86,-250.89,-217.55,-204.72,-184.27,-165.79,-141.7,-120.03,-100.47,-80.78,-64.36,-48.05,-34.81,-20.45,-9.28,-3.55,6.35,-1276.22,48.23,267.82,236.8,184.58,148.26,124.56,108.24,95.21,84,74.67,66.91,59.08,53.69,48.22,43.62,39.53,36.6,34.62,32.93,32.65,32.25,32.46,6.35
-1176.08,-669.46,-754.04,-689.86,-430.44,-376.71,-330.39,-298.56,-268.85,-243.42,-213.57,-201.8,-181.74,-164.19,-142.11,-120.22,-100.67,-81.48,-64.71,-47.96,-33.54,-17.65,-4.8,2.25,14.19,-1177.72,77.81,268.69,232.33,178.66,143.77,119.5,104.88,92.44,81.74,72.87,65.5,58.27,53.09,48.04,43.79,40.15,37.57,35.96,34.66,34.8,34.93,35.52,14.19
